ORGEH;COMPANY_CODE;NAMA_UNIT;PARENT;TEXT PARENT;TARGET_REALISASI_COC
15615001;6400;Unit Induk Distribusi (UID) Riau dan Kepulauan Riau;15000000;PT PLN (PERSERO) / ORG-BARU;95
15678001;6500;Unit Induk Distribusi (UID) Sumatera Selatan, Jambi, dan Bengkulu;15000000;PT PLN (PERSERO) / ORG-BARU;95
15900172;6800;Unit Induk Distribusi (UID) Kalimantan Barat;15000000;PT PLN (PERSERO) / ORG-BARU;95
15915000;7100;Unit Induk Distribusi (UID) Kalimantan Selatan dan Kalimantan Tengah;15000000;PT PLN (PERSERO) / ORG-BARU;95
15937887;7200;Unit Induk Distribusi (UID) Kalimantan Timur dan Kalimantan Utara;15000000;PT PLN (PERSERO) / ORG-BARU;95
15820000;7300;Unit Induk Distribusi (UID) Sulawesi Utara, Sulawesi Tengah, dan Gorontalo;15000000;PT PLN (PERSERO) / ORG-BARU;95
15845000;7400;Unit Induk Distribusi (UID) Sulawesi Selatan, Sulawesi Tenggara, dan Sulawesi Barat;15000000;PT PLN (PERSERO) / ORG-BARU;95
15965455;7500;Unit Induk Wilayah (UIW) Maluku dan Maluku Utara;15000000;PT PLN (PERSERO) / ORG-BARU;95
15969181;7600;Unit Induk Wilayah (UIW) Papua dan Papua Barat;15000000;PT PLN (PERSERO) / ORG-BARU;95
15981000;7700;Unit Induk Wilayah (UIW) Nusa Tenggara Barat;15000000;PT PLN (PERSERO) / ORG-BARU;95
15991000;7800;Unit Induk Wilayah (UIW) Nusa Tenggara Timur;15000000;PT PLN (PERSERO) / ORG-BARU;95
16130781;2200;Unit Induk Pembangkitan (UIK) Tanjung Jati B;15000000;PT PLN (PERSERO) / ORG-BARU;95
15630001;3200;Unit Induk Penyaluran Dan Pusat Pengatur Beban (UIP3B) Sumatera;15000000;PT PLN (PERSERO) / ORG-BARU;95
15645001;6600;Unit Induk Wilayah (UIW) Bangka Belitung;15000000;PT PLN (PERSERO) / ORG-BARU;95
10057710;6700;Unit Induk Distribusi (UID) Lampung;15000000;PT PLN (PERSERO) / ORG-BARU;95
16109600;8400;Pusat Pemeliharaan Ketenagalistrikan (PUSHARLIS);15000000;PT PLN (PERSERO) / ORG-BARU;95
16113600;8500;Pusat Manajemen Proyek (PUSMANPRO);15000000;PT PLN (PERSERO) / ORG-BARU;95
16100000;8600;Pusat Sertifikasi (PUSERTIF);15000000;PT PLN (PERSERO) / ORG-BARU;95
16104500;8100;Pusat Penelitian Dan Pengembangan Ketenagalistrikan (PUSLITBANG);15000000;PT PLN (PERSERO) / ORG-BARU;95
16130181;8200;Pusat Pendidikan Dan Pelatihan (PUSDIKLAT);15000000;PT PLN (PERSERO) / ORG-BARU;95
10074925;5600;Unit Induk Distribusi (UID) Banten;15000000;PT PLN (PERSERO) / ORG-BARU;95
10074902;3300;Unit Induk Pusat Pengatur Beban (UIP2B) Jawa, Madura, dan Bali;15000000;PT PLN (PERSERO) / ORG-BARU;95
10073976;3400;Unit Induk Transmisi (UIT) Jawa Bagian Barat;15000000;PT PLN (PERSERO) / ORG-BARU;95
10073975;3500;Unit Induk Transmisi (UIT) Jawa Bagian Tengah;15000000;PT PLN (PERSERO) / ORG-BARU;95
10073977;3600;Unit Induk Transmisi (UIT) Jawa Bagian Timur dan Bali;15000000;PT PLN (PERSERO) / ORG-BARU;95
10077226;4B00;Unit Induk Pembangunan (UIP) Sumatera Bagian Utara;15000000;PT PLN (PERSERO) / ORG-BARU;95
10077233;4Q00;Unit Induk Pembangunan (UIP) Sumatera Bagian Tengah;15000000;PT PLN (PERSERO) / ORG-BARU;95
